"Density(kg/m3)","Temperature(K)"
102.8161828,618.367608
103.59805,618.740704
104.3892382,619.1138
105.1899523,619.486896
106.0004048,619.859992
106.8208158,620.233088
107.6514132,620.606184
108.4924335,620.97928
109.3441219,621.352376
110.2067331,621.725472
111.0805314,622.098568
111.9657917,622.471664
112.8627996,622.84476
113.7718523,623.217856
114.6932594,623.590952
115.6273433,623.964048
116.5744398,624.337144
117.5348997,624.71024
118.5090889,625.083336
119.4973897,625.456432
120.5002018,625.829528
121.5179436,626.202624
122.5510531,626.57572
123.5999894,626.948816
124.6652343,627.321912
125.7472937,627.695008
126.8466993,628.068104
127.9640106,628.4412
129.0998172,628.814296
130.2547405,629.187392
131.4294369,629.560488
132.6246001,629.933584
133.8409644,630.30668
135.0793082,630.679776
136.3404576,631.052872
137.6252907,631.425968
138.9347423,631.799064
140.2698094,632.17216
141.6315568,632.545256
143.0211242,632.918352
144.4397333,633.291448
145.8886969,633.664544
147.3694282,634.03764
148.8834519,634.410736
150.4324173,634.783832
152.0181125,635.156928
153.6424815,635.530024
155.3076431,635.90312
157.0159142,636.276216
158.7698356,636.649312
160.5722031,637.022408
162.4261039,637.395504
164.3349595,637.7686
166.3025772,638.141696
168.3332111,638.514792
170.4316366,638.887888
172.6032399,639.260984
174.8541283,639.63408
177.1912657,640.007176
179.6226417,640.380272
182.1574839,640.753368
184.8065293,641.126464
187.582372,641.49956
190.4999195,641.872656
193.5769964,642.245752
194.2133754,642.3203712
194.8571758,642.3949904
195.508599,642.4696096
196.1678547,642.5442288
196.8351618,642.618848
197.510749,642.6934672
198.1948547,642.7680864
198.8877284,642.8427056
199.5896309,642.9173248
200.3008351,642.991944
201.0216269,643.0665632
201.7523059,643.1411824
202.4931862,643.2158016
203.2445977,643.2904208
204.0068869,643.36504
204.7804183,643.4396592
205.5655753,643.5142784
206.3627619,643.5888976
207.172404,643.6635168
207.9949514,643.738136
208.8308792,643.8127552
209.68069,643.8873744
210.5449162,643.9619936
211.4241223,644.0366128
212.3189076,644.111232
213.2299095,644.1858512
214.1578065,644.2604704
215.1033223,644.3350896
216.0672298,644.4097088
217.050356,644.484328
218.0535874,644.5589472
219.077876,644.6335664
220.1242465,644.7081856
221.1938042,644.7828048
222.2877439,644.857424
223.4073612,644.9320432
224.554064,645.0066624
225.7293877,645.0812816
226.9350114,645.1559008
228.1727787,645.23052
229.4447208,645.3051392
230.7530857,645.3797584
232.1003725,645.4543776
233.4893736,645.5289968
234.9232266,645.603616
236.4054788,645.6782352
237.9401681,645.7528544
239.5319258,645.8274736
241.186109,645.9020928
242.9089736,645.976712
244.7079034,646.0513312
246.5917206,646.1259504
248.5711125,646.2005696
250.6592364,646.2751888
252.8725956,646.349808
255.2323541,646.4244272
257.7663859,646.4990464
260.512621,646.5736656
263.5248409,646.6482848
266.8834935,646.722904
270.7179941,646.7975232
275.2596592,646.8721424
280.9978607,646.9467616
289.3677872,647.0213808
322,647.096
322,647.096
322,647.096
322,647.096
354.4883738,647.0213808
362.8561985,646.9467616
368.6530281,646.8721424
373.3019336,646.7975232
377.2811234,646.722904
380.8138298,646.6482848
384.0233508,646.5736656
386.9852574,646.4990464
389.7492899,646.4244272
392.3499474,646.349808
394.8121529,646.2751888
397.1545214,646.2005696
399.391358,646.1259504
401.5339361,646.0513312
403.591345,645.976712
405.5710688,645.9020928
407.4793892,645.8274736
409.3216726,645.7528544
411.1025758,645.6782352
412.8261973,645.603616
414.4961877,645.5289968
416.1158325,645.4543776
417.6881142,645.3797584
419.2157592,645.3051392
420.7012748,645.23052
422.1469774,645.1559008
423.5550148,645.0812816
424.9273846,645.0066624
426.2659492,644.9320432
427.572448,644.857424
428.8485084,644.7828048
430.0956546,644.7081856
431.3153157,644.6335664
432.5088329,644.5589472
433.6774659,644.484328
434.8223985,644.4097088
435.9447442,644.3350896
437.0455505,644.2604704
438.1258037,644.1858512
439.1864332,644.111232
440.2283144,644.0366128
441.2522734,643.9619936
442.2590892,643.8873744
443.2494973,643.8127552
444.2241924,643.738136
445.1838307,643.6635168
446.129033,643.5888976
447.0603861,643.5142784
447.9784456,643.4396592
448.8837375,643.36504
449.77676,643.2904208
450.6579855,643.2158016
451.5278618,643.1411824
452.3868137,643.0665632
453.2352445,642.991944
454.0735373,642.9173248
454.9020559,642.8427056
455.7211461,642.7680864
456.5311368,642.6934672
457.3323408,642.618848
458.1250559,642.5442288
458.9095657,642.4696096
459.6861402,642.3949904
460.4550367,642.3203712
461.2165005,642.245752
464.9201529,641.872656
468.4689041,641.49956
471.8831475,641.126464
475.1792484,640.753368
478.3704292,640.380272
481.4674414,640.007176
484.4790823,639.63408
487.4125985,639.260984
490.2740029,638.887888
493.0683269,638.514792
495.7998206,638.141696
498.4721132,637.7686
501.0883409,637.395504
503.6512483,637.022408
506.1632693,636.649312
508.6265904,636.276216
511.0432002,635.90312
513.4149283,635.530024
515.743475,635.156928
518.0304338,634.783832
520.2773087,634.410736
522.4855277,634.03764
524.656452,633.664544
526.7913838,633.291448
528.8915716,632.918352
530.9582142,632.545256
532.9924642,632.17216
534.9954303,631.799064
536.9681789,631.425968
538.9117364,631.052872
540.8270901,630.679776
542.7151893,630.30668
544.576947,629.933584
546.4132407,629.560488
548.2249131,629.187392
550.0127739,628.814296
551.7776003,628.4412
553.5201381,628.068104
555.2411032,627.695008
556.9411819,627.321912
558.6210327,626.948816
560.2812868,626.57572
561.9225495,626.202624
563.5454009,625.829528
565.1503972,625.456432
566.7380713,625.083336
568.3089343,624.71024
569.8634759,624.337144
571.4021656,623.964048
572.9254535,623.590952
574.433771,623.217856
575.927532,622.84476
577.4071333,622.471664
578.8729557,622.098568
580.3253643,621.725472
581.7647095,621.352376
583.1913279,620.97928
584.6055424,620.606184
586.007663,620.233088
587.3979878,619.859992
588.7768029,619.486896
590.1443836,619.1138
591.5009942,618.740704
592.8468893,618.367608
594.1823134,617.994512
595.5075023,617.621416
596.8226825,617.24832
598.1280724,616.875224
599.4238823,616.502128
600.7103151,616.129032
601.987566,615.755936
603.2558235,615.38284
604.5152696,615.009744
605.7660796,614.636648
607.008423,614.263552
608.2424634,613.890456
609.4683591,613.51736
610.6862627,613.144264
611.8963222,612.771168
613.0986805,612.398072
614.2934759,612.024976
615.4808425,611.65188
616.66091,611.278784
617.833804,610.905688
618.9996465,610.532592
620.1585555,610.159496
621.3106456,609.7864
622.4560282,609.413304
623.594811,609.040208
624.7270989,608.667112
625.8529938,608.294016
626.9725947,607.92092
628.0859977,607.547824
629.1932965,607.174728
630.294582,606.801632
631.3899429,606.428536
632.4794655,606.05544
633.5632337,605.682344
634.6413294,605.309248
635.7138324,604.936152
636.7808205,604.563056
637.8423694,604.18996
638.8985532,603.816864
639.9494441,603.443768
640.9951125,603.070672
642.0356273,602.697576
643.0710556,602.32448
644.1014631,601.951384
645.1269139,601.578288
646.1474709,601.205192
647.1631953,600.832096
648.1741472,600.459
649.1803851,600.085904
650.1819666,599.712808
651.1789478,599.339712
652.1713839,598.966616
653.1593286,598.59352
654.1428348,598.220424
655.1219541,597.847328
656.0967374,597.474232
657.0672342,597.101136
658.0334932,596.72804
658.9955622,596.354944
659.9534881,595.981848
660.9073168,595.608752
661.8570933,595.235656
662.8028619,594.86256
663.7446659,594.489464
664.6825482,594.116368
665.6165503,593.743272
666.5467135,593.370176
667.4730781,592.99708
668.3956838,592.623984
669.3145694,592.250888
670.2297733,591.877792
671.1413331,591.504696
